Sem.,Día,Fecha,Hora,Local,xG,Marcador,xG,Visitante,Asistencia,Sedes,Árbitro,Informe del partido,Notas
26,Dom,2022-02-27,14:00,Villarreal,5.0,5–1,0.8,Espanyol,15600,Estadio de la Cerámica,Ricardo de Burgos,Informe del partido,
26,Dom,2022-02-27,16:15,Sevilla,1.6,2–1,1.1,Betis,37250,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Informe del partido,
26,Dom,2022-02-27,18:30,Real Sociedad,1.1,1–0,0.6,Osasuna,30145,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Informe del partido,
26,Dom,2022-02-27,21:00,Barcelona,3.0,4–0,0.5,Athletic Club,69770,Camp Nou,Guillermo Cuadra,Informe del partido,
26,Lun,2022-02-28,21:00,Granada,0.4,0–0,0.7,Cádiz,14785,Estadio Nuevo Los Cármenes,José Sánchez,Informe del partido,
,,,,,,,,,,,,,
21,Mié,2022-03-02,21:00,Mallorca,0.7,0–2,1.6,Real Sociedad,11550,Iberostar Estadi,Mario Melero,Informe del partido,
,,,,,,,,,,,,,
27,Vie,2022-03-04,21:00,Alavés,1.5,0–0,1.3,Sevilla,13121,Estadio de Mendizorroza,Alberola Rojas,Informe del partido,
27,Sáb,2022-03-05,14:00,Osasuna,1.0,1–0,0.6,Villarreal,16659,Estadio El Sadar,José Luis Munuera,Informe del partido,
27,Sáb,2022-03-05,16:15,Espanyol,0.1,2–0,0.5,Getafe,18519,RCDE Stadium,Adrián Cordero,Informe del partido,
27,Sáb,2022-03-05,18:30,Valencia,1.8,3–1,0.5,Granada,31227,Estadio de Mestalla,Valentín Pizarro,Informe del partido,
27,Sáb,2022-03-05,21:00,Real Madrid,2.2,4–1,0.8,Real Sociedad,52410,Estadio Santiago Bernabéu,Jesús Gil,Informe del partido,
27,Dom,2022-03-06,14:00,Cádiz,1.3,2–0,1.0,Rayo Vallecano,15677,Estadio Nuevo Mirandilla,César Soto,Informe del partido,
27,Dom,2022-03-06,16:15,Elche,1.2,1–2,4.0,Barcelona,30146,Estadio Manuel Martínez Valero,Alejandro Hernández,Informe del partido,
27,Dom,2022-03-06,18:30,Celta Vigo,2.7,4–3,1.7,Mallorca,11320,Estadio de Balaídos,Miguel Ángel Ortiz Arias,Informe del partido,
27,Dom,2022-03-06,21:00,Betis,1.4,1–3,3.1,Atlético Madrid,44383,Estadio Benito Villamarín,Guillermo Cuadra,Informe del partido,
27,Lun,2022-03-07,21:00,Athletic Club,3.2,3–1,0.6,Levante,29485,San Mamés,Alejandro Muñíz,Informe del partido,
,,,,,,,,,,,,,
28,Vie,2022-03-11,21:00,Atlético Madrid,0.4,2–1,1.2,Cádiz,50573,Estadio Wanda Metropolitano,Pablo González,Informe del partido,
28,Sáb,2022-03-12,14:00,Levante,1.4,1–1,0.4,Espanyol,13407,Estadio Ciudad de Valencia,Isidro Díaz de Mera,Informe del partido,
28,Sáb,2022-03-12,16:15,Granada,1.6,0–1,1.1,Elche,15345,Estadio Nuevo Los Cármenes,Carlos del Cerro,Informe del partido,
28,Sáb,2022-03-12,18:30,Villarreal,1.2,1–0,0.8,Celta Vigo,14929,Estadio de la Cerámica,Santiago Jaime,Informe del partido,
28,Sáb,2022-03-12,21:00,Getafe,0.9,0–0,0.3,Valencia,10349,Coliseum Alfonso Pérez,Guillermo Cuadra,Informe del partido,
28,Dom,2022-03-13,14:00,Rayo Vallecano,0.5,1–1,0.2,Sevilla,9073,Estadio del Rayo Vallecano,Juan Martínez,Informe del partido,
28,Dom,2022-03-13,16:15,Betis,0.8,1–0,0.7,Athletic Club,48876,Estadio Benito Villamarín,Antonio Matéu Lahoz,Informe del partido,
28,Dom,2022-03-13,18:30,Real Sociedad,2.5,1–0,1.0,Alavés,31573,Estadio Municipal de Anoeta,Jorge Figueroa,Informe del partido,
28,Dom,2022-03-13,21:00,Barcelona,4.0,4–0,0.2,Osasuna,54507,Camp Nou,Ricardo de Burgos,Informe del partido,
28,Lun,2022-03-14,21:00,Mallorca,1.4,0–3,2.0,Real Madrid,17191,Iberostar Estadi,José Sánchez,Informe del partido,
,,,,,,,,,,,,,
29,Vie,2022-03-18,21:00,Athletic Club,2.1,1–1,0.4,Getafe,37367,San Mamés,Jesús Gil,Informe del partido,
29,Sáb,2022-03-19,14:00,Alavés,1.8,2–3,2.3,Granada,16209,Estadio de Mendizorroza,Guillermo Cuadra,Informe del partido,
29,Sáb,2022-03-19,16:15,Elche,0.7,0–1,1.2,Valencia,15780,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Informe del partido,
29,Sáb,2022-03-19,18:30,Osasuna,2.2,3–1,1.3,Levante,19429,Estadio El Sadar,Alberola Rojas,Informe del partido,
29,Sáb,2022-03-19,21:00,Rayo Vallecano,1.8,0–1,1.3,Atlético Madrid,10349,Estadio del Rayo Vallecano,José Luis Munuera,Informe del partido,
29,Dom,2022-03-20,14:00,Espanyol,1.0,1–0,0.6,Mallorca,17578,RCDE Stadium,Alejandro Muñíz,Informe del partido,
29,Dom,2022-03-20,16:15,Cádiz,2.0,1–0,0.3,Villarreal,13325,Estadio Nuevo Mirandilla,Alejandro Hernández,Informe del partido,
29,Dom,2022-03-20,16:15,Celta Vigo,0.8,0–0,0.8,Betis,13149,Estadio de Balaídos,Ricardo de Burgos,Informe del partido,
29,Dom,2022-03-20,18:30,Sevilla,0.5,0–0,1.4,Real Sociedad,24861,Estadio Ramón Sánchez Pizjuán,César Soto,Informe del partido,
29,Dom,2022-03-20,21:00,Real Madrid,1.1,0–4,2.7,Barcelona,60017,Estadio Santiago Bernabéu,Juan Martínez,Informe del partido,
,,,,,,,,,,,,,
30,Sáb,2022-04-02,14:00,Getafe,1.7,1–0,0.5,Mallorca,8946,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Informe del partido,
30,Sáb,2022-04-02,16:15,Levante,2.2,2–0,1.3,Villarreal,14908,Estadio Ciudad de Valencia,Adrián Cordero,Informe del partido,
30,Sáb,2022-04-02,18:30,Celta Vigo,1.8,1–2,3.1,Real Madrid,15714,Estadio de Balaídos,Pablo González,Informe del partido,
30,Sáb,2022-04-02,21:00,Atlético Madrid,2.7,4–1,0.6,Alavés,51467,Estadio Wanda Metropolitano,Mario Melero,Informe del partido,
30,Dom,2022-04-03,14:00,Athletic Club,2.2,2–1,0.4,Elche,34572,San Mamés,Jorge Figueroa,Informe del partido,
30,Dom,2022-04-03,16:15,Betis,4.0,4–1,0.5,Osasuna,49103,Estadio Benito Villamarín,Valentín Pizarro,Informe del partido,
30,Dom,2022-04-03,18:30,Granada,2.3,2–2,0.9,Rayo Vallecano,15823,Estadio Nuevo Los Cármenes,Alejandro Hernández,Informe del partido,
30,Dom,2022-04-03,18:30,Valencia,0.2,0–0,0.1,Cádiz,32949,Estadio de Mestalla,Isidro Díaz de Mera,Informe del partido,
30,Dom,2022-04-03,21:00,Barcelona,2.2,1–0,0.7,Sevilla,76112,Camp Nou,José Sánchez,Informe del partido,
30,Lun,2022-04-04,21:00,Real Sociedad,2.4,1–0,0.4,Espanyol,20869,Estadio Municipal de Anoeta,Santiago Jaime,Informe del partido,
,,,,,,,,,,,,,
31,Vie,2022-04-08,21:00,Sevilla,2.9,4–2,0.9,Granada,33504,Estadio Ramón Sánchez Pizjuán,Miguel Ángel Ortiz Arias,Informe del partido,
31,Sáb,2022-04-09,14:00,Cádiz,1.1,1–2,1.4,Betis,18063,Estadio Nuevo Mirandilla,Jesús Gil,Informe del partido,
31,Sáb,2022-04-09,16:15,Mallorca,1.3,1–0,0.7,Atlético Madrid,15437,Iberostar Estadi,Juan Martínez,Informe del partido,
31,Sáb,2022-04-09,18:30,Villarreal,1.2,1–1,2.0,Athletic Club,16603,Estadio de la Cerámica,Carlos del Cerro,Informe del partido,
31,Sáb,2022-04-09,21:00,Real Madrid,1.8,2–0,0.4,Getafe,50740,Estadio Santiago Bernabéu,César Soto,Informe del partido,
31,Dom,2022-04-10,14:00,Osasuna,2.3,1–0,0.8,Alavés,19220,Estadio El Sadar,Alejandro Muñíz,Informe del partido,
31,Dom,2022-04-10,16:15,Espanyol,1.3,1–0,1.0,Celta Vigo,18471,RCDE Stadium,Alberola Rojas,Informe del partido,
31,Dom,2022-04-10,18:30,Elche,0.8,1–2,2.1,Real Sociedad,17011,Estadio Manuel Martínez Valero,Guillermo Cuadra,Informe del partido,
31,Dom,2022-04-10,21:00,Levante,3.5,2–3,1.4,Barcelona,20785,Estadio Ciudad de Valencia,José Luis Munuera,Informe del partido,
31,Lun,2022-04-11,21:00,Rayo Vallecano,0.7,1–1,0.5,Valencia,9302,Estadio del Rayo Vallecano,Ricardo de Burgos,Informe del partido,
,,,,,,,,,,,,,
32,Vie,2022-04-15,21:00,Real Sociedad,1.0,0–0,0.5,Betis,28893,Estadio Municipal de Anoeta,Isidro Díaz de Mera,Informe del partido,
32,Sáb,2022-04-16,14:00,Elche,1.6,3–0,1.5,Mallorca,20257,Estadio Manuel Martínez Valero,José Sánchez,Informe del partido,
32,Sáb,2022-04-16,16:15,Alavés,0.8,1–0,1.5,Rayo Vallecano,10165,Estadio de Mendizorroza,Juan Martínez,Informe del partido,
32,Sáb,2022-04-16,18:30,Valencia,1.0,1–2,0.6,Osasuna,30148,Estadio de Mestalla,Mario Melero,Informe del partido,
32,Sáb,2022-04-16,21:00,Getafe,1.0,1–2,2.5,Villarreal,9657,Coliseum Alfonso Pérez,Pablo González,Informe del partido,
32,Dom,2022-04-17,14:00,Granada,1.4,1–4,3.0,Levante,15323,Estadio Nuevo Los Cármenes,Valentín Pizarro,Informe del partido,
32,Dom,2022-04-17,16:15,Atlético Madrid,1.0,2–1,0.7,Espanyol,54011,Estadio Wanda Metropolitano,Jorge Figueroa,Informe del partido,
32,Dom,2022-04-17,18:30,Athletic Club,0.7,0–2,0.5,Celta Vigo,35541,San Mamés,Alejandro Hernández,Informe del partido,
32,Dom,2022-04-17,21:00,Sevilla,0.8,2–3,1.6,Real Madrid,40629,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Informe del partido,
32,Lun,2022-04-18,21:00,Barcelona,1.6,0–1,1.7,Cádiz,57495,Camp Nou,Santiago Jaime,Informe del partido,
,,,,,,,,,,,,,
33,Mar,2022-04-19,19:00,Mallorca,0.9,2–1,0.8,Alavés,15264,Iberostar Estadi,César Soto,Informe del partido,
33,Mar,2022-04-19,21:00,Betis,1.5,0–1,0.6,Elche,43257,Estadio Benito Villamarín,Alberola Rojas,Informe del partido,
33,Mar,2022-04-19,21:30,Villarreal,1.7,2–0,0.4,Valencia,13570,Estadio de la Cerámica,José Luis Munuera,Informe del partido,
33,Mié,2022-04-20,19:00,Atlético Madrid,1.6,0–0,0.3,Granada,43517,Estadio Wanda Metropolitano,Jesús Gil,Informe del partido,
33,Mié,2022-04-20,20:00,Celta Vigo,0.4,0–2,1.4,Getafe,9934,Estadio de Balaídos,Santiago Jaime,Informe del partido,
33,Mié,2022-04-20,21:30,Osasuna,1.5,1–3,3.5,Real Madrid,21360,Estadio El Sadar,Ricardo de Burgos,Informe del partido,
33,Jue,2022-04-21,19:00,Levante,2.9,2–3,2.1,Sevilla,18107,Estadio Ciudad de Valencia,Isidro Díaz de Mera,Informe del partido,
33,Jue,2022-04-21,19:00,Espanyol,0.5,0–1,0.7,Rayo Vallecano,11873,RCDE Stadium,Antonio Matéu Lahoz,Informe del partido,
33,Jue,2022-04-21,20:00,Cádiz,3.8,2–3,1.7,Athletic Club,17360,Estadio Nuevo Mirandilla,Valentín Pizarro,Informe del partido,
33,Jue,2022-04-21,21:30,Real Sociedad,1.0,0–1,1.1,Barcelona,35128,Estadio Municipal de Anoeta,Carlos del Cerro,Informe del partido,
,,,,,,,,,,,,,


21,Dom,2022-04-24,21:00,Barcelona,1.7,0–1,0.4,Rayo Vallecano,57023,Camp Nou,Isidro Díaz de Mera,Informe del partido,
,,,,,,,,,,,,,
34,Vie,2022-04-29,21:00,Sevilla,0.9,1–1,1.1,Cádiz,37113,Estadio Ramón Sánchez Pizjuán,José Sánchez,Informe del partido,
34,Sáb,2022-04-30,14:00,Alavés,2.1,2–1,1.6,Villarreal,12579,Estadio de Mendizorroza,Miguel Ángel Ortiz Arias,Informe del partido,
34,Sáb,2022-04-30,16:15,Real Madrid,1.7,4–0,1.4,Espanyol,58686,Estadio Santiago Bernabéu,José Luis Munuera,Informe del partido,
34,Sáb,2022-04-30,18:30,Valencia,0.6,1–1,1.7,Levante,35099,Estadio de Mestalla,Jorge Figueroa,Informe del partido,
34,Sáb,2022-04-30,21:00,Athletic Club,1.5,2–0,0.7,Atlético Madrid,43398,San Mamés,Antonio Matéu Lahoz,Informe del partido,
34,Dom,2022-05-01,14:00,Elche,0.9,1–1,1.2,Osasuna,16305,Estadio Manuel Martínez Valero,Carlos del Cerro,Informe del partido,
34,Dom,2022-05-01,16:15,Granada,0.9,1–1,1.4,Celta Vigo,15036,Estadio Nuevo Los Cármenes,Juan Martínez,Informe del partido,
34,Dom,2022-05-01,18:30,Rayo Vallecano,1.4,1–1,0.7,Real Sociedad,9395,Estadio del Rayo Vallecano,Alejandro Muñíz,Informe del partido,
34,Dom,2022-05-01,21:00,Barcelona,1.2,2–1,1.0,Mallorca,62789,Camp Nou,Pablo González,Informe del partido,
34,Lun,2022-05-02,21:00,Getafe,0.8,0–0,0.3,Betis,9916,Coliseum Alfonso Pérez,Adrián Cordero,Informe del partido,
,,,,,,,,,,,,,
35,Vie,2022-05-06,21:00,Levante,2.6,2–1,2.9,Real Sociedad,17278,Estadio Ciudad de Valencia,Alberola Rojas,Informe del partido,
35,Sáb,2022-05-07,14:00,Mallorca,1.5,2–6,1.7,Granada,18466,Iberostar Estadi,Ricardo de Burgos,Informe del partido,
35,Sáb,2022-05-07,16:15,Athletic Club,1.4,0–0,0.1,Valencia,41091,San Mamés,Isidro Díaz de Mera,Informe del partido,
35,Sáb,2022-05-07,18:30,Cádiz,2.1,3–0,0.1,Elche,17615,Estadio Nuevo Mirandilla,Alejandro Hernández,Informe del partido,
35,Sáb,2022-05-07,18:30,Celta Vigo,2.4,4–0,0.3,Alavés,10567,Estadio de Balaídos,Guillermo Cuadra,Informe del partido,
35,Sáb,2022-05-07,21:00,Betis,0.9,1–2,1.1,Barcelona,46132,Estadio Benito Villamarín,Antonio Matéu Lahoz,Informe del partido,
35,Dom,2022-05-08,14:00,Getafe,0.7,0–0,0.9,Rayo Vallecano,10125,Coliseum Alfonso Pérez,Mario Melero,Informe del partido,
35,Dom,2022-05-08,16:15,Villarreal,1.6,1–1,1.0,Sevilla,17461,Estadio de la Cerámica,Jesús Gil,Informe del partido,
35,Dom,2022-05-08,18:30,Espanyol,0.7,1–1,0.8,Osasuna,18903,RCDE Stadium,Santiago Jaime,Informe del partido,
35,Dom,2022-05-08,21:00,Atlético Madrid,2.6,1–0,1.6,Real Madrid,63874,Estadio Wanda Metropolitano,César Soto,Informe del partido,
,,,,,,,,,,,,,
36,Mar,2022-05-10,19:00,Valencia,1.5,0–3,1.5,Betis,28091,Estadio de Mestalla,Carlos del Cerro,Informe del partido,
36,Mar,2022-05-10,20:00,Granada,1.3,1–0,0.4,Athletic Club,16638,Estadio Nuevo Los Cármenes,José Sánchez,Informe del partido,
36,Mar,2022-05-10,21:30,Barcelona,1.2,3–1,1.1,Celta Vigo,55899,Camp Nou,Miguel Ángel Ortiz Arias,Informe del partido,
36,Mié,2022-05-11,19:00,Osasuna,0.6,1–1,0.4,Getafe,17850,Estadio El Sadar,Alejandro Muñíz,Informe del partido,
36,Mié,2022-05-11,19:00,Alavés,2.6,2–1,0.9,Espanyol,12729,Estadio de Mendizorroza,Valentín Pizarro,Informe del partido,
36,Mié,2022-05-11,20:30,Sevilla,2.2,0–0,0.8,Mallorca,33242,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Informe del partido,
36,Mié,2022-05-11,21:30,Elche,0.4,0–2,2.1,Atlético Madrid,21266,Estadio Manuel Martínez Valero,Pablo González,Informe del partido,
36,Jue,2022-05-12,19:00,Real Sociedad,2.8,3–0,1.1,Cádiz,29014,Estadio Municipal de Anoeta,Juan Martínez,Informe del partido,
36,Jue,2022-05-12,20:00,Rayo Vallecano,2.0,1–5,2.4,Villarreal,7945,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Informe del partido,
36,Jue,2022-05-12,21:30,Real Madrid,3.7,6–0,1.2,Levante,38421,Estadio Santiago Bernabéu,Adrián Cordero,Informe del partido,
,,,,,,,,,,,,,
37,Sáb,2022-05-14,18:30,Espanyol,0.7,1–1,1.7,Valencia,14990,RCDE Stadium,Alejandro Muñíz,Informe del partido,
37,Dom,2022-05-15,19:30,Levante,2.5,3–1,0.7,Alavés,12438,Estadio Ciudad de Valencia,Guillermo Cuadra,Informe del partido,
37,Dom,2022-05-15,19:30,Villarreal,1.2,1–2,2.6,Real Sociedad,16689,Estadio de la Cerámica,Pablo González,Informe del partido,
37,Dom,2022-05-15,19:30,Getafe,0.4,0–0,0.2,Barcelona,13072,Coliseum Alfonso Pérez,Jesús Gil,Informe del partido,
37,Dom,2022-05-15,19:30,Athletic Club,1.3,2–0,0.9,Osasuna,37869,San Mamés,Jorge Figueroa,Informe del partido,
37,Dom,2022-05-15,19:30,Atlético Madrid,1.2,1–1,0.7,Sevilla,58138,Estadio Wanda Metropolitano,José Sánchez,Informe del partido,
37,Dom,2022-05-15,19:30,Betis,1.9,2–0,1.3,Granada,45016,Estadio Benito Villamarín,Ricardo de Burgos,Informe del partido,
37,Dom,2022-05-15,19:30,Celta Vigo,2.1,1–0,0.6,Elche,10773,Estadio de Balaídos,Mario Melero,Informe del partido,
37,Dom,2022-05-15,19:30,Mallorca,0.8,2–1,1.3,Rayo Vallecano,17930,Iberostar Estadi,José Luis Munuera,Informe del partido,
37,Dom,2022-05-15,19:30,Cádiz,2.9,1–1,1.6,Real Madrid,19643,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Informe del partido,
,,,,,,,,,,,,,
38,Vie,2022-05-20,21:00,Real Madrid,1.5,0–0,1.0,Betis,52232,Estadio Santiago Bernabéu,Santiago Jaime,Informe del partido,
38,Vie,2022-05-20,21:00,Rayo Vallecano,2.7,2–4,2.7,Levante,8446,Estadio del Rayo Vallecano,Mario Melero,Informe del partido,
38,Sáb,2022-05-21,17:30,Valencia,1.6,2–0,1.0,Celta Vigo,16189,Estadio de Mestalla,Adrián Cordero,Informe del partido,
38,Dom,2022-05-22,17:30,Elche,3.0,3–1,1.3,Getafe,17336,Estadio Manuel Martínez Valero,Guillermo Cuadra,Informe del partido,
38,Dom,2022-05-22,20:00,Osasuna,0.8,0–2,1.4,Mallorca,18717,Estadio El Sadar,César Soto,Informe del partido,
38,Dom,2022-05-22,20:00,Granada,2.0,0–0,0.5,Espanyol,17951,Estadio Nuevo Los Cármenes,Alejandro Hernández,Informe del partido,
38,Dom,2022-05-22,20:00,Alavés,0.6,0–1,1.8,Cádiz,11138,Estadio de Mendizorroza,José Sánchez,Informe del partido,
38,Dom,2022-05-22,22:00,Barcelona,0.9,0–2,0.7,Villarreal,54850,Camp Nou,José Luis Munuera,Informe del partido,
38,Dom,2022-05-22,22:00,Sevilla,1.4,1–0,1.0,Athletic Club,31305,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Informe del partido,
38,Dom,2022-05-22,22:00,Real Sociedad,2.5,1–2,0.8,Atlético Madrid,23586,Estadio Municipal de Anoeta,Jesús Gil,Informe del partido,